imdb_id,label,title
114709,12,Toy Story (1995)
113497,3,Jumanji (1995)
113228,10,Grumpier Old Men (1995)
114885,10,Waiting to Exhale (1995)
113041,10,Father of the Bride Part II (1995)
113277,3,Heat (1995)
114319,10,Sabrina (1995)
112302,0,Tom and Huck (1995)
114576,3,Sudden Death (1995)
113189,3,GoldenEye (1995)
112896,10,Dracula: Dead and Loving It (1995)
112453,12,Balto (1995)
112760,3,Cutthroat Island (1995)
114388,7,Sense and Sensibility (1995)
113101,10,Four Rooms (1995)
112281,0,Ace Ventura: When Nature Calls (1995)
113845,3,Money Train (1995)
112722,24,Copycat (1995)
112401,3,Assassins (1995)
114168,7,Powder (1995)
113627,7,Leaving Las Vegas (1995)
114057,7,Othello (1995)
114011,10,Now and Then (1995)
112682,5,The City of Lost Children (1995)
115012,24,"Yao a yao, yao dao wai po qiao (1995)"
114746,13,Twelve Monkeys (1995)
114952,0,Wings of Courage (1995)
112818,24,Dead Man Walking (1995)
113442,10,It Takes Two (1995)
112697,10,Clueless (1995)
112749,7,"Cry, the Beloved Country (1995)"
114279,7,Richard III (1995)
112819,3,Dead Presidents (1995)
114681,10,To Die For (1995)
113347,10,How to Make an American Quilt (1995)
114369,24,Se7en (1995)
114148,12,Pocahontas (1995)
114814,24,The Usual Suspects (1995)
109950,3,Guardian Angel (1994)
113819,10,Mighty Aphrodite (1995)
112499,10,The Big Green (1995)
113158,7,Georgia (1995)
113541,0,Kids of the Round Table (1995)
113321,10,Home for the Holidays (1995)
110877,14,Il Postino: The Postman (1994)
112714,7,Le confessionnal (1995)
113419,7,The Indian in the Cupboard (1995)
118002,10,Two If by Sea (1996)
115683,10,Bio-Dome (1996)
116839,3,Lawnmower Man 2: Beyond Cyberspace (1996)
114753,7,Two Bits (1995)
113149,10,French Twist (1995)
113118,10,Friday (1995)
113010,3,Fair Game (1995)
113537,10,Kicking and Screaming (1995)
115644,8,Bed of Roses (1996)
115676,10,Big Bully (1996)
114367,4,Screamers (1995)
113973,21,Nico Icon (1995)
112744,7,The Crossing Guard (1995)
112445,7,The White Balloon (1995)
112379,10,Antonia's Line (1995)
113612,10,Last Summer in the Hamptons (1995)
118158,0,White Squall (1996)
115697,10,Black Sheep (1996)
113490,7,The Journey of August King (1995)
117002,7,Mary Reilly (1996)
114825,10,Vampire in Brooklyn (1995)
115639,10,Beautiful Girls (1996)
