imdb_id,label,title
112346,10,The American President (1995)
113987,14,Nixon (1995)
112641,24,Casino (1995)
112792,14,Dangerous Minds (1995)
112431,10,Babe (1995)
112286,0,Across the Sea of Time (1995)
114272,14,Restoration (1995)
114916,7,When Night Is Falling (1995)
110299,7,Lamerica (1994)
113862,7,Mr. Holland's Opus (1995)
116126,10,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
113828,7,Les misí©rables (1995)
116731,7,The Juror (1996)
114660,24,Things to Do in Denver When You're Dead (1995)
114039,7,Once Upon a Time... When We Were Colored (1995)
112365,7,Angels and Insects (1995)
116151,10,Dunston Checks In (1996)
113972,3,Nick of Time (1995)
115734,10,Bottle Rocket (1996)
110251,10,Nobody Loves Me (1994)
113326,3,Rumble in the Bronx (1995)
114808,7,The Star Maker (1995)
116324,10,Flirting with Disaster (1996)
114015,10,Nueba Yol (1995)
113125,21,From the Journals of Jean Seberg (1995)
112495,3,Beyond Rangoon (1995)
112864,3,Die Hard with a Vengeance (1995)
113243,10,Hackers (1995)
113820,3,Mighty Morphin Power Rangers: The Movie (1995)
113957,3,The Net (1995)
114558,3,Strange Days (1995)
114663,7,Three Wishes (1995)
112602,0,Bushwhacked (1995)
109758,10,Exit to Eden (1994)
113097,10,Forget Paris (1995)
113028,0,Far from Home: The Adventures of Yellow Dog (1995)
113234,12,Gumby: The Movie (1995)
110116,14,Immortal Beloved (1994)
110006,10,Heavy Weights (1995)
113463,14,Jefferson in Paris (1995)
110391,10,Love Affair (1994)
113691,7,Losing Isaiah (1995)
110527,9,Miracle on 34th Street (1994)
113870,7,Murder in the First (1995)
110684,10,Nobody's Fool (1994)
110413,24,Lí©on: The Professional (1994)
110963,14,Queen Margot (1994)
114296,10,Roommates (1995)
110907,10,Ready to Wear (1994)
108394,7,Three Colors: Blue (1993)
111333,12,The Swan Princess (1994)
111149,24,Shallow Grave (1994)
106966,10,Strawberry and Chocolate (1993)
114852,22,Village of the Damned (1995)
114888,7,The Walking Dead (1995)
114924,10,While You Were Sleeping (1995)
109040,10,Ace Ventura: Pet Detective (1994)
109450,14,Cobb (1994)
110357,12,The Lion King (1994)
110997,3,The River Wild (1994)
111756,0,Wyatt Earp (1994)
110399,3,A Low Down Dirty Shame (1994)
112849,7,Desert Winds (1994)
113319,7,Homage (1995)
113827,3,Mirage (1995)
109785,24,Federal Hill (1994)
113409,5,In the Mouth of Madness (1994)
109067,10,The Air Up There (1994)
109306,7,Blue Sky (1994)
106519,24,Carlito's Way (1993)
